word,freq
inclusivo,2.0
individual,2.0
inentivos,2.0
infância,2.0
informando,2.0
infraestrutura,2.0
inicio,2.0
início,2.0
inserção,2.0
instalados,2.0
integrado,2.0
intérprete,2.0
ipês,2.0
iracema,2.0
irene,2.0
irmão,2.0
itinerante,2.0
ivanildo,2.0
jardins,2.0
jesus,2.0
jobão,2.0
jogos,2.0
jorge,2.0
jornal,2.0
jose,2.0
josimar,2.0
jovem,2.0
jovéns,2.0
jozenilton,2.0
judiciais,2.0
juiz,2.0
jurídicas,2.0
jurídico,2.0
justiça,2.0
juventude,2.0
korem,2.0
lagoa,2.0
laura,2.0
legais,2.0
líder,2.0
limeira,2.0
lindalva,2.0
língua,2.0
livreiro,2.0
livres,2.0
livros,2.0
locação,2.0
locadoras,2.0
locados,2.0
localização,2.0
localizadas,2.0
lojas,2.0
lote,2.0
lucas,2.0
luciano,2.0
luiza,2.0
macedo,2.0
macropólo,2.0
mamografia,2.0
mandela,2.0
manuel,2.0
marçal,2.0
marcolino,2.0
marechal,2.0
margarida,2.0
marinês,2.0
marinho,2.0
matérias,2.0
maura,2.0
maus,2.0
mediante,2.0
médicos,2.0
medidas,2.0
meiaentrada,2.0
meireles,2.0
melhor,2.0
mello,2.0
mendes,2.0
meses,2.0
metal,2.0
metas,2.0
miguel,2.0
ministro,2.0
miro,2.0
moacir,2.0
mobiliário,2.0
moradia,2.0
moraes,2.0
motivo,2.0
mototaxistas,2.0
motta,2.0
movimento,2.0
muncípio,2.0
musicais,2.0
musical,2.0
músicas,2.0
natal,2.0
natalino,2.0
natural,2.0
naturezaissqn,2.0
néris,2.0
niemeyer,2.0
nível,2.0
noções,2.0
noite,2.0
núcleo,2.0
nutricionais,2.0
nutricional,2.0
obesidade,2.0
observadas,2.0
ocupacional,2.0
oficiais,2.0
oficinas,2.0
olimpíada,2.0
olinda,2.0
ong,2.0
orbigatoriedade,2.0
organizacional,2.0
orientação,2.0
orlando,2.0
orquestras,2.0
outro,2.0
padres,2.0
paiva,2.0
papel,2.0
paraíbaassemp,2.0
paraibanas,2.0
paraibanos,2.0
parcelamento,2.0
parcial,2.0
parques,2.0
pastelarias,2.0
paula,2.0
paulino,2.0
pavimento,2.0
paz,2.0
peças,2.0
pedrosa,2.0
percentual,2.0
perigosos,2.0
permita,2.0
personal,2.0
pertencente,2.0
pizzarias,2.0
poços,2.0
poetas,2.0
polícia,2.0
policiais,2.0
policlínica,2.0
população,2.0
porte,2.0
porto,2.0
posto,2.0
precoce,2.0
preconceito,2.0
préhospitalar,2.0
preservação,2.0
prestadores,2.0
prestem,2.0
prévia,2.0
principais,2.0
procedimentos,2.0
processamento,2.0
processo,2.0
processos,2.0
produção,2.0
produto,2.0
programação,2.0
proibido,2.0
pronto,2.0
propagação,2.0
proporcional,2.0
proprietários,2.0
publicação,2.0
qualificado,2.0
quaresma,2.0
queima,2.0
químicos,2.0
quintos,2.0
quirino,2.0
quórum,2.0
racial,2.0
racismo,2.0
radiodifusão,2.0
rafael,2.0
real,2.0
realizados,2.0
realizem,2.0
reaproveitamento,2.0
reciclagem,2.0
reciclável,2.0
reconhecimento,2.0
redes,2.0
referência,2.0
reforma,2.0
régia,2.0
região,2.0
rêgo,2.0
regulamentadas,2.0
regulamentado,2.0
regulamentados,2.0
reis,2.0
relaciona,2.0
remoção,2.0
repartições,2.0
resende,2.0
reservatórios,2.0
residência,2.0
residências,2.0
respectivamente,2.0
responsabilidade,2.0
retenção,2.0
reutilização,2.0
revisão,2.0
ricardo,2.0
rolihlahla,2.0
rubéns,2.0
rural,2.0
salviano,2.0
